BEB,SoC,Mileage,Route,Location
1025,0,0,0,0
1026,0,0,0,0
1029,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1038,0,0,0,0
1042,0,0,0,0
1044,0,0,0,0
1049,0,0,0,0
1052,0,0,0,0
1055,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1061,0,0,0,0
1063,0,0,0,0
1066,0,0,0,0
1068,0,0,0,0
1069,0,0,0,0
1071,0,0,0,0
1073,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1084,0,0,0,0
1090,0,0,0,0
1092,0,0,0,0
1094,0,0,0,0
1107,0,0,0,0
1110,0,0,0,0
1114,0,0,0,0
4007,0,0,0,0
4049,0,0,0,0
1021,0,0,0,0
4052,0,0,0,0
4054,0,0,0,0
1016,0,0,0,0
4064,0,0,0,0
4066,0,0,0,0
1006,0,0,0,0
4002,0,0,0,0
4004,0,0,0,0
4006,0,0,0,0
1009,0,0,0,0
4011,0,0,0,0
1010,0,0,0,0
4017,0,0,0,0
4028,0,0,0,0
4029,0,0,0,0
4030,0,0,0,0
1013,0,0,0,0
4032,0,0,0,0
4034,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1032,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1116,0,0,0,0
1117,0,0,0,0
1120,0,0,0,0
4063,0,0,0,0
