counter,StopId,StopName,StreetNum,OnStreet,AtStreet,UTAStopID,latitude,longitude
0,13840,HILL FIELD RD @ 1891 N ,1891,N HILL FIELD RD ,ANTELOPE DR ,101001,41.087382,-111.973612
1,13841,HILL FIELD RD @ 1655 N ,1655,N HILL FIELD RD ,1650 N ,101003,41.08379298,-111.973621
2,20998,MAIN ST @ 229 N ,229,N MAIN ST ,CROSS ST ,101006,41.06341103,-111.969459
3,8908,RING RD @ 425 W (LAYTON MALL) ,425,W RING RD ,RING RD ,101007,41.07892103,-111.974571
4,21027,MAIN ST @ 934 S ,934,S MAIN ST ,CROSS ST ,101008,41.04645504,-111.953481
5,21028,MAIN ST @ 573 N ,573,N MAIN ST ,MARKET ST ,101009,41.04427102,-111.950257
6,13468,HILL FIELD RD @ 1596 N ,1596,N HILL FIELD RD ,1600 N ,101011,41.08307097,-111.973347
7,8913,HILL FIELD RD @ 1748 N ,1748,N HILL FIELD RD ,PAUL AVE ,101012,41.08494404,-111.973341
8,13377,GORDON AVE @ 289 E ,289,E GORDON AVE ,300 E ,101016,41.07472299,-111.961671
9,13378,GORDON AVE @ 75 E ,75,E GORDON AVE ,125 E ,101017,41.07474598,-111.964363
10,13379,GORDON AVE @ 40 W ,40,W GORDON AVE ,HILL BLVD ,101018,41.07476197,-111.9665939
11,13467,GORDON AVE @ 365 W ,365,W GORDON AVE ,400 W ,101019,41.07480202,-111.972262
12,12934,HILL FIELD RD @ 1398 N ,1398,N HILL FIELD RD ,1425 N ,101021,41.07999196,-111.973369
13,13333,GORDON AVE @ 222 W ,222,W GORDON AVE ,200 W ,101023,41.07463497,-111.970055
14,13334,GORDON AVE @ 54 W ,54,W GORDON AVE ,HILL BLVD ,101024,41.07456898,-111.966888
15,13335,GORDON AVE @ 58 E ,58,E GORDON AVE ,GARNET DR ,101025,41.07455704,-111.965261
16,13336,GORDON AVE @ 336 E ,336,E GORDON AVE ,AMETHYST ST ,101026,41.07452601,-111.960751
17,13338,GORDON AVE @ 570 E ,570,E GORDON AVE ,VALERIA DR ,101027,41.07447197,-111.954485
18,13339,FAIRFIELD RD @ 915 N ,915,N FAIRFIELD RD ,900 N ,101029,41.07311504,-111.950307
