Plan1,Plan2,Plan3
WASATCH BLVD @ 3900 S,3650 S @ 2880 W,WASATCH BLVD @ 3900 S
,300 S @ 600 W,5600 W @ 4211 S
,490 W @ 240 N,OLD BINGHAM HWY @ 4786 W
,,300 S @ 600 W
,,NORTH MEDICAL DR @ 50 N
,,Sandy Civic - Temp Bus Loop
,,CENTRAL CAMPUS DRIVE @ 260 S
,,2100 S @ 221 W
,,WINCHESTER DR @ 222 W
,,180 W @ 7250 S
,,WALL AVE @ 1725 S
,,FREEDOM BLVD @ 610 S
,,ASHTON BLVD @ 3101 N
,,900 S @ 1350 W
,,750 E @ 1145 S
,,STATE ST @ 355 S
,,ADAMS AVE @ 5558 S
,,EDVALSON STREET @ 1297 E
,,RING RD @ 425 W    (LAYTON MALL)
,,3500 W @ 5515 S    (ROY)
,,490 W @ 210 N
