Name,Latitude,Longitude
WASATCH BLVD @ 3900 S,40.68777904,-111.796627
5600 W @ 4211 S,40.67938304,-112.0246039
OLD BINGHAM HWY @ 4786 W,40.58171702,-112.004673
300 S @ 600 W,40.7631039,-111.9090225
NORTH MEDICAL DR @ 50 N,40.77253498,-111.837594
Sandy Civic - Temp Bus Loop,40.57026696,-111.884643
CENTRAL CAMPUS DRIVE @ 260 S,40.764348,-111.844861
2100 S @ 221 W,40.72484902,-111.897436
WINCHESTER DR @ 222 W,40.63360202,-111.898186
180 W @ 7250 S,40.61848701,-111.897713
WALL AVE @ 1725 S,41.23605601,-111.978676
FREEDOM BLVD @ 610 S,40.22522001,-111.660967
ASHTON BLVD @ 3101 N,40.42583598,-111.895924
900 S @ 1350 W,40.28054304,-111.726206
750 E @ 1145 S,40.27622,-111.676958
STATE ST @ 355 S,40.76141204,-111.888079
ADAMS AVE @ 5558 S,41.162981,-111.968499
EDVALSON STREET @ 1297 E,41.19487199,-111.9449259
RING RD @ 425 W    (LAYTON MALL),41.07892103,-111.974571
3500 W @ 5515 S    (ROY),41.16294097,-112.0645909
490 W @ 210 N,40.774009,-111.904983
